group_id,Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3
730,Eddy Curry,2,C,NYK,154.0,15.9,144.0,5003.0,0.6,2.1,1.7,3.8,-3.1,0.5,0.5,1.0
731,Edgar Jones,9,PF,CLE,424.0,13.9,124.0,8437.0,0.6,0.8,1.1,1.9,-1.3,0.5,0.5,0.2
732,Eduardo Najera,16,PF,CHA,733.0,10.8,94.0,13083.0,0.5,0.8,0.9,1.7,-0.8,0.5,0.5,0.2
733,Edwin Ubiles,1,SF,WAS,4.0,7.3,0.0,52.0,0.4,-0.1,0.0,0.0,-8.8,0.3,0.3,0.2
734,Efthimi Rentzias,1,C,PHI,35.0,10.6,0.0,144.0,0.4,0.0,0.2,0.2,-4.7,0.3,0.3,0.5
735,Ekpe Udoh,3,C,MIL,160.0,12.9,25.0,3065.0,0.5,0.8,1.1,2.0,0.4,0.4,0.4,0.0
736,Elden Campbell,16,C,DET,1030.0,15.1,678.0,26663.0,0.5,1.7,2.4,4.1,-1.1,0.4,0.4,0.0
737,Eldridge Recasner,9,PG,LAC,301.0,10.4,47.0,5152.0,0.5,0.6,0.4,1.0,-5.0,0.4,0.4,0.2
738,Elfrid Payton,3,PG,ORL,237.0,15.0,190.0,7046.0,0.5,1.0,2.0,3.0,-0.4,0.4,0.5,0.3
739,Elijah Millsap,3,SG,PHO,69.0,3.7,5.0,1120.0,0.3,-0.4,0.6,0.1,-5.9,0.3,0.3,0.1
740,Elliot Perry,15,PG,PHO,681.0,12.6,139.0,10679.0,0.5,0.3,0.6,1.0,-3.2,0.4,0.4,0.3
741,Elliot Williams,6,PG,MEM,122.0,9.9,2.0,1589.0,0.5,0.0,0.1,0.1,-4.8,0.4,0.4,0.4
742,Elmer Bennett,4,PG,DEN,22.0,17.3,0.0,168.0,0.5,-0.1,0.0,-0.0,0.4,0.4,0.4,0.2
743,Elmore Spencer,2,C,LAC,95.0,9.2,71.0,2298.0,0.5,-1.0,1.0,-0.0,-4.8,0.5,0.5,0.0
744,Elston Turner,7,SF,DEN,488.0,9.6,97.0,8908.0,0.5,0.1,1.1,1.2,-1.8,0.4,0.4,0.2
745,Elton Brand,14,C,PHI,941.0,18.6,759.0,30696.0,0.5,4.0,2.8,6.8,2.1,0.5,0.5,0.1
746,Elvin Hayes*,3,PF,HOU,244.0,13.1,129.0,6328.0,0.5,0.7,1.9,2.6,-2.2,0.5,0.5,0.2
747,Emanual Davis,6,SG,ATL,226.0,9.2,62.0,3934.0,0.5,-0.0,0.4,0.4,-3.0,0.4,0.4,0.3
748,Emeka Okafor,2,C,NOH,145.0,16.2,145.0,4887.0,0.5,1.8,3.4,5.2,-0.6,0.5,0.5,0.0
749,Emmanuel Mudiay,2,PG,DEN,123.0,10.4,107.0,3474.0,0.5,-1.8,0.8,-1.0,-4.0,0.4,0.4,0.3
750,Enes Kanter,8,C,OKC,520.0,19.8,188.0,11614.0,0.6,2.8,1.4,4.1,-2.3,0.5,0.5,0.4
751,Ennis Whatley,6,PG,ATL,355.0,13.0,192.0,6865.0,0.5,0.4,1.2,1.6,-2.2,0.5,0.5,0.1
752,Eric Anderson,1,PF,NYK,11.0,15.2,0.0,39.0,0.5,0.0,0.1,0.1,-4.6,0.4,0.3,1.0
753,Eric Bledsoe,7,PG,PHO,418.0,16.9,256.0,11309.0,0.5,1.7,1.7,3.3,1.6,0.4,0.5,0.3
754,Eric Gordon,9,SG,HOU,492.0,15.1,413.0,16471.0,0.6,2.2,0.7,2.9,-0.6,0.4,0.5,0.4
755,Eric Johnson,1,PG,UTA,48.0,4.6,2.0,272.0,0.3,-0.8,0.4,-0.4,-6.2,0.2,0.2,0.2
756,Eric Leckner,3,C,DET,187.0,10.7,49.0,2502.0,0.6,0.3,0.6,0.9,-4.9,0.5,0.5,0.0
757,Eric Maynor,11,PG,PHI,443.0,9.3,4.0,6455.0,0.5,0.0,0.4,0.5,-5.7,0.4,0.4,0.3
758,Eric Mobley,3,C,VAN,119.0,11.2,31.0,1874.0,0.6,0.0,0.6,0.6,-3.4,0.6,0.6,0.7
759,Eric Montross,3,C,TOR,173.0,9.0,101.0,3547.0,0.5,0.7,1.2,1.9,-2.8,0.5,0.5,0.0
760,Eric Murdock,11,PG,LAC,581.0,15.7,238.0,13555.0,0.5,1.3,1.3,2.6,-0.4,0.4,0.4,0.3
761,Eric Piatkowski,14,SF,PHO,789.0,12.6,250.0,14613.0,0.6,1.8,0.4,2.2,-1.3,0.4,0.4,0.4
762,Eric Riley,4,C,DAL,151.0,12.8,30.0,1507.0,0.5,-0.0,0.5,0.4,-3.5,0.5,0.5,0.0
763,Eric Snow,15,PG,CLE,910.0,10.8,551.0,24050.0,0.5,1.2,1.7,3.0,-2.9,0.4,0.4,0.2
764,Eric Washington,2,SG,DEN,104.0,9.6,42.0,2300.0,0.5,0.2,-0.2,0.0,-3.2,0.4,0.4,0.4
765,Eric White,1,SF,LAC,17.0,15.2,4.0,352.0,0.6,0.6,0.2,0.8,-3.0,0.5,0.5,1.0
766,Eric Williams,17,SF,CHA,801.0,11.0,379.0,18915.0,0.5,0.9,0.8,1.7,-3.2,0.4,0.4,0.3
767,Erick Barkley,2,PG,POR,27.0,10.0,4.0,266.0,0.4,-0.1,0.2,0.0,-5.2,0.4,0.4,0.3
768,Erick Dampier,8,C,MIA,518.0,13.8,410.0,12831.0,0.5,1.5,1.9,3.4,-0.6,0.5,0.5,0.2
769,Erick Green,3,PG,UTA,58.0,12.0,1.0,487.0,0.5,0.0,0.0,0.1,-2.7,0.4,0.5,0.2
770,Erick Strickland,11,SG,MIL,551.0,12.3,122.0,11019.0,0.5,0.4,0.9,1.3,-1.4,0.4,0.4,0.3
771,Erik Daniels,1,SF,SAC,21.0,4.6,0.0,72.0,0.4,-0.1,0.1,-0.1,-7.9,0.3,0.3,0.5
772,Erik Murphy,1,C,CHI,24.0,0.2,0.0,62.0,0.2,-0.2,0.1,-0.1,-8.1,0.2,0.3,0.0
773,Ernie Grunfeld,5,SF,NYK,379.0,12.0,17.0,6896.0,0.5,1.1,1.5,2.6,-1.1,0.5,0.5,0.2
774,Ersan Ilyasova,14,PF,ATL,765.0,14.6,473.0,18886.0,0.5,1.7,1.6,3.3,-0.8,0.4,0.5,0.4
775,Ervin Johnson,7,C,MIN,500.0,10.7,325.0,10189.0,0.5,0.8,2.2,3.0,-0.9,0.5,0.5,0.2
776,Esteban Batista,1,PF,ATL,57.0,7.1,3.0,495.0,0.5,-0.2,0.3,0.1,-6.6,0.4,0.4,0.0
777,Eugene Jeter,1,PG,SAC,62.0,11.1,1.0,858.0,0.5,0.2,0.5,0.7,-5.4,0.4,0.4,0.2
778,Evan Fournier,5,SG,ORL,319.0,13.0,177.0,8392.0,0.6,1.7,0.9,2.6,-1.2,0.5,0.5,0.4
779,Evan Turner,9,SF,POR,615.0,12.1,309.0,17505.0,0.5,-0.2,2.1,1.9,-2.4,0.4,0.4,0.3
780,Everette Stephens,1,PG,IND,35.0,6.4,0.0,209.0,0.4,-0.6,0.1,-0.4,-7.3,0.3,0.3,0.2
781,Evric Gray,1,SF,NJN,5.0,2.8,0.0,42.0,0.4,-0.1,0.0,-0.1,-10.8,0.3,0.3,0.2
782,Fabricio Oberto,3,C,SAS,195.0,11.2,75.0,2811.0,0.6,1.4,1.5,3.0,0.6,0.6,0.6,0.0
783,Fat Lever,11,PG,DAL,752.0,16.9,599.0,23814.0,0.5,2.7,2.9,5.6,2.7,0.4,0.4,0.3
784,Felipe Lopez,6,SG,MIN,319.0,11.6,128.0,5710.0,0.5,0.3,0.5,0.8,-2.5,0.4,0.4,0.3
785,Felton Spencer,1,C,MIN,81.0,13.8,46.0,2099.0,0.6,3.5,2.1,5.6,-1.4,0.5,0.5,0.0
786,Fennis Dembo,1,SF,DET,31.0,7.8,0.0,74.0,0.4,-0.2,0.1,-0.1,-8.8,0.3,0.4,0.0
787,Fernando Martin,1,C,POR,24.0,-0.9,0.0,146.0,0.3,-0.6,0.2,-0.4,-8.7,0.3,0.3,0.0
788,Foots Walker,3,PG,NJN,190.0,10.9,64.0,3627.0,0.5,0.9,1.8,2.6,-2.2,0.4,0.4,0.3
789,Forrest McKenzie,1,SF,SAS,6.0,-2.2,0.0,42.0,0.3,-0.2,0.0,-0.2,-18.8,0.2,0.2,0.5
790,Francisco Elson,7,C,MIL,415.0,9.2,150.0,6794.0,0.5,0.0,1.5,1.5,-2.7,0.5,0.5,0.1
791,Francisco Garcia,12,SF,HOU,607.0,11.2,157.0,12882.0,0.5,0.8,0.8,1.6,-0.8,0.4,0.5,0.3
792,Frank Brickowski,14,PF,BOS,769.0,13.0,448.0,18144.0,0.5,1.0,1.3,2.3,-1.3,0.5,0.5,0.2
793,Frank Johnson,10,PG,PHO,596.0,12.6,217.0,12897.0,0.5,0.3,1.4,1.7,-2.5,0.4,0.5,0.2
794,Frank Kaminsky,2,C,CHO,156.0,12.8,19.0,3662.0,0.5,0.8,2.0,2.8,-1.4,0.4,0.5,0.3
795,Frank Kornet,2,PF,MIL,89.0,6.1,0.0,595.0,0.4,-0.2,0.2,-0.0,-6.1,0.4,0.4,0.3
796,Frank Williams,3,SG,CHI,86.0,5.8,3.0,952.0,0.3,-0.2,0.2,-0.0,-6.0,0.3,0.3,0.2
797,Frankie King,2,SG,PHI,13.0,7.8,0.0,79.0,0.4,0.0,0.0,0.0,-6.7,0.3,0.4,0.2
798,Franklin Edwards,6,PG,SAC,280.0,10.8,36.0,4238.0,0.5,0.0,0.6,0.6,-5.4,0.4,0.4,0.0
799,Fred Brown,3,SG,SEA,233.0,16.7,4.0,4346.0,0.5,1.9,1.4,3.4,-1.5,0.5,0.5,0.3
800,Fred Cofield,2,PG,CHI,50.0,6.0,1.0,496.0,0.3,-0.5,0.3,-0.2,-6.8,0.3,0.3,0.1
801,Fred Hoiberg,10,SG,MIN,541.0,12.7,61.0,9978.0,0.6,1.7,1.0,2.8,0.0,0.4,0.4,0.3
