Unnamed: 0,Year,Player,Pos,Tm,G,GS,MP,PER,TS%,OWS,DWS,WS,BPM,FG%,3P%,2P%
6704,1982,Norm Nixon,PG,LAL,82,82,3024,15.3,0.525,4.2,2.4,6.6,-1.4,0.493,0.25,0.495
6705,1982,Mike O'Koren,SF,NJN,80,32,2018,13.6,0.528,1.4,2.8,4.1,0.0,0.492,0.348,0.497
6706,1982,Mark Olberding,PF,SAS,68,63,2098,14.6,0.551,3.1,2.0,5.1,1.2,0.472,0.167,0.478
6708,1982,Louis Orr,SF,IND,80,41,1951,14.9,0.553,2.1,2.1,4.3,-0.3,0.497,0.125,0.501
6709,1982,Tom Owens,PF,IND,74,40,1599,14.9,0.53,1.1,2.1,3.2,-0.5,0.47,0.5,0.47
6713,1982,Jim Paxson,SG,POR,82,82,2756,18.0,0.561,5.6,1.8,7.5,0.9,0.526,0.229,0.535
6714,1982,Sam Pellom,PF,ATL,69,4,1037,10.3,0.506,0.2,1.6,1.8,-1.4,0.454,0.0,0.456
6715,1982,Roger Phegley,SG,TOT,81,9,1183,13.0,0.501,1.0,0.6,1.6,-2.3,0.46,0.161,0.479
6716,1982,Roger Phegley,SG,CLE,27,8,566,13.3,0.53,0.6,0.1,0.7,-1.8,0.486,0.308,0.498
6717,1982,Roger Phegley,SG,SAS,54,1,617,12.8,0.48,0.4,0.4,0.9,-2.7,0.44,0.056,0.465
6718,1982,Ben Poquette,PF,UTA,82,56,1698,13.1,0.562,2.2,1.2,3.4,-0.4,0.514,0.3,0.519
6719,1982,Mark Radford,SG,SEA,43,0,369,10.3,0.556,-0.1,0.5,0.4,-3.9,0.54,0.667,0.536
6720,1982,Ed Rains,SF,SAS,49,15,637,8.2,0.468,0.2,0.4,0.6,-3.1,0.435,0.0,0.44
6721,1982,Kurt Rambis,PF,LAL,64,43,1131,12.8,0.528,0.3,2.1,2.3,1.2,0.518,0.0,0.52
6722,1982,Kelvin Ransey,PG,POR,78,68,2418,16.5,0.507,2.2,1.5,3.7,-1.8,0.46,0.079,0.474
6723,1982,James Ray,PF,DEN,40,4,262,10.2,0.47,-0.5,0.2,-0.3,-5.6,0.44,1.0,0.435
6724,1982,Robert Reid,SF,HOU,77,75,2913,13.3,0.492,2.5,2.7,5.2,1.9,0.456,0.1,0.46
6725,1982,Kevin Restani,PF,TOT,47,0,483,6.4,0.389,-0.3,0.3,0.0,-4.1,0.364,0.0,0.372
6726,1982,Kevin Restani,PF,SAS,13,0,145,4.8,0.353,-0.1,0.1,0.0,-5.3,0.321,0.0,0.333
