solo_competitive_rank,rank_tier,competitive_rank,mmr_estimate,leaderboard_rank,account_id,personaname,name,plus,cheese,steamid,avatar,avatarmedium,avatarfull,profileurl,last_login,loccountrycode,status,is_contributor,is_subscriber
,80.0,,{'estimate': 4583},2002.0,296534030,N[o]Pasaran,,False,0,76561198256799758,https://avatars.steamstatic.com/7d4feadd2d40b5d9418350f1174a00008e11c524.jpg,https://avatars.steamstatic.com/7d4feadd2d40b5d9418350f1174a00008e11c524_medium.jpg,https://avatars.steamstatic.com/7d4feadd2d40b5d9418350f1174a00008e11c524_full.jpg,https://steamcommunity.com/profiles/76561198256799758/,,RU,,False,False
,80.0,,{'estimate': 4632},2293.0,480723099,Farm mode,,False,0,76561198440988827,https://avatars.steamstatic.com/9abf7d6f175b9ffe9a13f3f0e290a864b02d2ed5.jpg,https://avatars.steamstatic.com/9abf7d6f175b9ffe9a13f3f0e290a864b02d2ed5_medium.jpg,https://avatars.steamstatic.com/9abf7d6f175b9ffe9a13f3f0e290a864b02d2ed5_full.jpg,https://steamcommunity.com/profiles/76561198440988827/,,CN,,False,False
4806.0,80.0,4662.0,{'estimate': 4807},3987.0,202819457,没头脑,,False,0,76561198163085185,https://avatars.steamstatic.com/3e24dc914aa7f5c555dfa592a9ec3b7c64476378.jpg,https://avatars.steamstatic.com/3e24dc914aa7f5c555dfa592a9ec3b7c64476378_medium.jpg,https://avatars.steamstatic.com/3e24dc914aa7f5c555dfa592a9ec3b7c64476378_full.jpg,https://steamcommunity.com/id/578286999/,,CN,,False,False
6006.0,80.0,,{'estimate': 4570},1822.0,115887962,耿鬼,,True,0,76561198076153690,https://avatars.steamstatic.com/752eb38c3b0bc6f74708ec2c3d44d00bda41edde.jpg,https://avatars.steamstatic.com/752eb38c3b0bc6f74708ec2c3d44d00bda41edde_medium.jpg,https://avatars.steamstatic.com/752eb38c3b0bc6f74708ec2c3d44d00bda41edde_full.jpg,https://steamcommunity.com/profiles/76561198076153690/,,,,False,False
,80.0,,{'estimate': 4312},4581.0,946458629,batang may laban,,False,0,76561198906724357,https://avatars.steamstatic.com/d210de6b878f16dc3b29881bbe9fee147a8bbaa1.jpg,https://avatars.steamstatic.com/d210de6b878f16dc3b29881bbe9fee147a8bbaa1_medium.jpg,https://avatars.steamstatic.com/d210de6b878f16dc3b29881bbe9fee147a8bbaa1_full.jpg,https://steamcommunity.com/profiles/76561198906724357/,,KE,,False,False
4502.0,80.0,3831.0,{'estimate': 5169},829.0,207179796,楚樱,,False,0,76561198167445524,https://avatars.steamstatic.com/79d6ac49ecff2bf24f9e22030f09f30eb4699495.jpg,https://avatars.steamstatic.com/79d6ac49ecff2bf24f9e22030f09f30eb4699495_medium.jpg,https://avatars.steamstatic.com/79d6ac49ecff2bf24f9e22030f09f30eb4699495_full.jpg,https://steamcommunity.com/profiles/76561198167445524/,,,,False,False
,,,{},,179820618,Rockfella,,False,0,76561198140086346,https://avatars.steamstatic.com/04850a1740500182edfa4fe8ee61be2106c88b55.jpg,https://avatars.steamstatic.com/04850a1740500182edfa4fe8ee61be2106c88b55_medium.jpg,https://avatars.steamstatic.com/04850a1740500182edfa4fe8ee61be2106c88b55_full.jpg,https://steamcommunity.com/profiles/76561198140086346/,,KZ,,False,False
,80.0,,{'estimate': 4472},4345.0,895146130,NoMore,,False,0,76561198855411858,https://avatars.steamstatic.com/d5da57e3d4b9e983fb9d15722ef32539dc048755.jpg,https://avatars.steamstatic.com/d5da57e3d4b9e983fb9d15722ef32539dc048755_medium.jpg,https://avatars.steamstatic.com/d5da57e3d4b9e983fb9d15722ef32539dc048755_full.jpg,https://steamcommunity.com/id/neeshtededa/,,SJ,,False,False
,45.0,,{'estimate': 3193},,427251891,Гаджегульвин,,False,0,76561198387517619,https://avatars.steamstatic.com/ccb5aa9ca2db6026e4303d95acf6c11f0540aff5.jpg,https://avatars.steamstatic.com/ccb5aa9ca2db6026e4303d95acf6c11f0540aff5_medium.jpg,https://avatars.steamstatic.com/ccb5aa9ca2db6026e4303d95acf6c11f0540aff5_full.jpg,https://steamcommunity.com/profiles/76561198387517619/,,,,False,False
701.0,,891.0,{'estimate': 2257},,297820098,ardika_1205,,False,0,76561198258085826,https://avatars.steamstatic.com/7ba06b5c7da33e53f166f3d7ae75c65c82f20a6a.jpg,https://avatars.steamstatic.com/7ba06b5c7da33e53f166f3d7ae75c65c82f20a6a_medium.jpg,https://avatars.steamstatic.com/7ba06b5c7da33e53f166f3d7ae75c65c82f20a6a_full.jpg,https://steamcommunity.com/profiles/76561198258085826/,,,,False,False
5317.0,80.0,4366.0,{'estimate': 4890},3259.0,115269893,apes legends,,False,0,76561198075535621,https://avatars.steamstatic.com/52d37baa4931c900c3e5807e25c43f95660cf106.jpg,https://avatars.steamstatic.com/52d37baa4931c900c3e5807e25c43f95660cf106_medium.jpg,https://avatars.steamstatic.com/52d37baa4931c900c3e5807e25c43f95660cf106_full.jpg,https://steamcommunity.com/id/dontwanttowakeup/,2017-08-19T15:59:21.469Z,RU,,False,False
,,,{'estimate': 3729},,299327758,123456789012,,False,0,76561198259593486,https://avatars.steamstatic.com/fb9c36c36e54b8ca5f2e1cbd89c06574d1348af0.jpg,https://avatars.steamstatic.com/fb9c36c36e54b8ca5f2e1cbd89c06574d1348af0_medium.jpg,https://avatars.steamstatic.com/fb9c36c36e54b8ca5f2e1cbd89c06574d1348af0_full.jpg,https://steamcommunity.com/id/tuohdigindee/,,,,False,False
5765.0,80.0,5525.0,{'estimate': 5445},3119.0,91907884,JavierNS.Y,,True,0,76561198052173612,https://avatars.steamstatic.com/acee28c6f6abaa23d608064f68c5a9a0faa51076.jpg,https://avatars.steamstatic.com/acee28c6f6abaa23d608064f68c5a9a0faa51076_medium.jpg,https://avatars.steamstatic.com/acee28c6f6abaa23d608064f68c5a9a0faa51076_full.jpg,https://steamcommunity.com/id/JavierNS/,2022-09-07T22:27:13.960Z,ES,,False,False
